usr,variant1,variant2,
2,pouss,opuses,
1,zien,zuin,
1,ze,Ze,
1,lane,lannee,
2,ron,rond,
2,pou,pour,
2,leres diber,leress diber,
2,leres,leress,
2,tanperatir,temperatir,
2,pandan,pendan,
13,kouyer,kuyer,couyere
2,vie,vier,
2,karay,caraill,
1,kontign,contign,
1,les,less,
1,Angle,angle,
1,Franse,franse,
1,Kreol,kreol,
1,Per,per,
1,lapenn,la penn,
20,tranpe,trampe,
23,lake-zwanion,lake-zwanion,
1,Zien,zuin,
1,pe,p,
1,Ze,jeux,
1,ant,ent,
1,lane,lannee,
1,lane-la,lannee la,
7,bizin,bisin,
4,zwin,zoin,
4,nouri,nourri,
5,di riz, diri,
5,pwasson,poisson,
5,poi,pwa,
5,conzelé,konzele,
5,lapoud,la poud,
