	original	variant	content_type
0	Mahl	Mëhl	ingredient
1	Mìlch	melich	ingredient
2	Griaß	Gress	ingredient
3	bìtsi	bessel	ingredient
4	Bàckpulver	Bàckbulver	ingredient
5	Labküechegewìrz	Labkùchegwìrz	ingredient
6	Àpfelmües	Àpfelmùs	ingredient
7	Galrìewle	Galerewle	ingredient
8	com	vom	ingredient
9	Kotlette	Kotlett	ingredient
10	Mìlch	Mélisch	ingredient
11	Griaß	Grees	ingredient
12	bìtsi	béssel	ingredient
13	Erdbeere	Arbeere	ingredient
14	Eigelbe	Eigal	ingredient
15	Wisswin	Weisswein	ingredient
16	Päckel	Packel	ingredient
17	g'hobelti	g'robti	ingredient
18	Spàrichel-	Spàrkla	title
19	Sabayon	Zabayon	title
20	Kugelhopf	Kouglov	title
21	Erdbeere	Erdbéére	title
22	ùn	und	title
23	Griaßpflütta	GrussFlutta	title
24	Spàrichle	Sparkla	title
25	Spàrichle	Spàrkla	title
26	Spàrichle	Spàrkla	title
27	Erdbeere	arbere un rabarwer sabayon	title
28	Galrìewleküeche	Galerewlekùche	title
29	Làmmel	Làmmel	content
30	Griaßpflütta	Greespflüdde	title
31	Mìlch	melich	content
32	Pfànna	Pfànn	content
33	schìtta	schìtte	content
34	Mìlch	melich	content
35	dràb	ràb	content
36	macha	mache	content
37	Griaß	Greß	content
38	driischìtta	drànschitte	content
39	wahrend	un	content
40	gìtt	word	content
41	null	null	null
42	do	do	content
43	weniger	wenier	content
44	Griaß	Greß	content
45	gìtt	gìbt	content
46	weicha	wechi	content
47	Griaßpflütta	Greßpflütte	content
48	mehr	meh	content
49	Griaß	Greß	content
50	gìtt	gìbt	content
51	härta	härti	content
52	Griaßpflütta	Greßpflütte	content
53	Noh-n-era	Nohr e	content
54	Minüta	Minüt	content
55	Dreiha	Dreihe	content
56	güet	gùt	content
57	null	null	null
58	ma	mer	content
59	ma	mer	content
60	drüsmàcha	drüsmàche	content
61	null	null	null
62	vorheize	vorhaïze	content
63	Gewìrz	Gwìrz	content
64	Àpfelmües	Àpfelmùs	content
65	rüehre	rehre	content
66	güet	gùt	content
67	rüehre	rehre	content
68	Galerìewle	Galerewle	content
69	gann	màche	content
70	rüehre	rehre	content
71	Teig	Deg	content
72	Teig	deg	content
73	Küeche	Kùche	content
74	schìewe	schtelle	content
75	Ùffeme	Ùffeme	content
76	4)	4)	content
77	Kotlette	Kotlett	content
78	Mìlch	Mélisch	content
79	schìtta	schéde	content
80	Pfànna	Pfànn	content
81	Mìlch	Mélisch	content
82	dràb	vùm Fiir eràb màche ùn's	content
83	driischìtta	néngschéde	content
84	Griaß	Grees	content
85	wahrend	wahrend	content
86	s	es	content
87	null	null	null
88	weniger	wenijer	content
89	mehr	mee	content
90	ìn	én	content
91	a	e	content
92	Dr	D'r	content
93	Liter	Lidder	content
94	D	D	content
95	Wenn	Wànn	content
96	null	null	null
97	Ma	Mer	content
98	null	null	null
99	null	null	null
100	wäsche	wasche	content
101	d'Erdbeere	d'Arbeere	content
102	schniide	schneide	content
103	Eigelbe	Eigal	content
104	schlaawe	schlàre	content
105	Schlaawe	Schlàre	content
106	wiss	weiss	content
107	wùrd	ward	content
108	Wisswin	Weisswein	content
109	Schüm	Schaum	content
-1	schlaawe	schlàre	content
